Year;Month;Ano_Month
1794;3;1.369
1794;4;0.879
1794;5;1.446
1794;6;-0.738
1794;7;-0.963
1794;8;-0.445
1794;9;0.516
1794;10;0.256
1794;11;0.207
1794;12;-0.365
1795;1;1.040
1795;2;2.066
1795;3;1.377
1795;4;1.428
1795;5;0.692
1795;6;-0.825
1795;7;0.124
1795;8;-0.391
1795;9;-1.528
1795;10;-0.851
1795;11;-0.058
1795;12;0.413
1796;1;1.195
1796;2;0.605
1796;3;-2.743
1796;4;-1.112
1796;5;-0.420
1796;6;0.480
1796;7;-0.607
1796;8;0.299
1796;9;-0.665
1796;10;-0.352
1796;11;-0.615
1796;12;-2.500
1797;1;2.101
1797;2;2.991
1797;3;-0.797
1797;4;-1.559
1797;5;-1.319
1797;6;0.068
1797;7;-0.931
1797;8;-0.312
1797;9;-0.150
1797;10;-0.373
1797;11;-1.370
1797;12;-0.136
1798;1;0.182
1798;2;-0.583
1798;3;0.904
1798;4;-0.606
1798;5;-0.397
1798;6;-0.478
1798;7;0.415
1798;8;0.667
1798;9;-0.576
1798;10;-0.636
1798;11;-0.064
1798;12;-1.857
1799;1;-0.513
1799;2;-3.321
1799;3;-2.774
1799;4;-0.605
1799;5;-0.659
1799;6;-0.181
1799;7;-0.123
1799;8;-0.544
1799;9;-0.691
1799;10;-0.289
1799;11;-0.040
1799;12;-2.617
1800;1;-1.368
1800;2;-1.698
1800;3;-1.816
1800;4;0.180
1800;5;-1.390
1800;6;-0.347
1800;7;-0.799
1800;8;-0.610
1800;9;-1.541
1800;10;-0.377
1800;11;-0.507
1800;12;-0.509
1801;1;0.699
1801;2;0.032
1801;3;1.014
1801;4;-1.165
1801;5;0.964
1801;6;-0.615
1801;7;0.053
1801;8;-1.527
1801;9;-0.604
1801;10;0.878
1801;11;-0.778
1801;12;0.270
1802;1;0.748
1802;2;0.730
1802;3;0.581
1802;4;0.277
1802;5;-2.052
1802;6;-0.058
1802;7;-0.159
1802;8;-0.622
1802;9;-0.290
1802;10;-0.069
1802;11;-0.966
1802;12;-0.855
1803;1;-2.970
1803;2;-1.517
1803;3;-1.025
1803;4;0.331
1803;5;-0.197
1803;6;0.096
1803;7;0.208
1803;8;0.635
1803;9;-0.188
1803;10;0.612
1803;11;-0.376
1803;12;-1.582
1804;1;0.051
1804;2;-1.233
1804;3;-1.321
1804;4;0.560
1804;5;0.453
1804;6;0.170
1804;7;0.894
1804;8;-0.275
1804;9;-0.181
1804;10;-0.052
1804;11;0.585
1804;12;-2.499
1805;1;-0.199
1805;2;-0.631
1805;3;0.235
1805;4;-0.773
1805;5;-0.466
1805;6;0.553
1805;7;0.163
1805;8;0.890
1805;9;-0.306
1805;10;-1.896
1805;11;-1.854
1805;12;0.634
1806;1;0.643
1806;2;0.007
1806;3;-0.730
1806;4;-0.545
1806;5;0.098
1806;6;-1.117
1806;7;-0.523
1806;8;0.532
1806;9;0.326
1806;10;-0.731
1806;11;-0.934
1806;12;0.291
1807;1;-1.636
1807;2;0.273
1807;3;-1.052
1807;4;-1.607
1807;5;-2.725
1807;6;0.022
1807;7;-0.085
1807;8;-0.350
1807;9;0.431
1807;10;-0.008
1807;11;0.246
1807;12;0.941
1808;1;-1.116
1808;2;-0.825
1808;3;-1.235
1808;4;-1.171
1808;5;-1.616
1808;6;0.421
1808;7;0.411
1808;8;-0.915
1808;9;-0.167
1808;10;-0.366
1808;11;-1.449
1808;12;-2.380
1809;1;-2.371
1809;2;-2.115
1809;3;-2.148
1809;4;-0.912
1809;5;-2.234
1809;6;-0.336
1809;7;-1.441
1809;8;-0.978
1809;9;-1.216
1809;10;-0.620
1809;11;-2.990
1809;12;-0.747
1810;1;-2.531
1810;2;-1.132
1810;3;-0.690
1810;4;-2.237
1810;5;-2.882
1810;6;-2.056
1810;7;-1.834
1810;8;-1.886
1810;9;-2.555
1810;10;-2.660
1810;11;-2.610
1810;12;-1.586
1811;1;-2.129
1811;2;-3.545
1811;3;-1.812
1811;4;-3.016
1811;5;-2.322
1811;6;-1.011
1811;7;-1.889
1811;8;-0.842
1811;9;-2.266
1811;10;-2.922
1811;11;-3.375
1811;12;-0.915
1812;1;-1.099
1812;2;-3.170
1812;3;-3.594
1812;4;-2.222
1812;5;-2.128
1812;6;-1.673
1812;7;-0.049
1812;8;1.460
1812;9;-1.810
1812;10;-1.746
1812;11;-2.055
1812;12;-3.048
1813;1;-4.019
1813;2;-0.810
1813;3;-3.390
1813;4;-0.625
1813;5;-0.152
1813;6;-0.302
1813;7;0.044
1813;8;-0.691
1813;9;0.346
1813;10;-0.053
1813;11;1.065
1813;12;-0.953
1814;1;-0.189
1814;2;-0.863
1814;3;-2.632
1814;4;-1.580
1814;5;-2.218
1814;6;-0.463
1814;7;-1.678
1814;8;-0.459
1814;9;-0.660
1814;10;-1.600
1814;11;0.625
1814;12;2.307
1815;1;-1.089
1815;2;-1.322
1815;3;-1.898
1815;4;-2.371
1815;5;-2.364
1815;6;-3.000
1815;7;-0.337
1815;8;-0.607
1815;9;-0.964
1815;10;-0.914
1815;11;-1.671
1815;12;-1.980
1816;1;0.975
1816;2;-2.837
1816;3;-1.166
1816;4;-1.061
1816;5;-0.656
1816;6;-1.333
1816;7;-1.818
1816;8;-0.748
1816;9;-0.739
1816;10;-2.379
1816;11;-0.823
1816;12;-1.477
1817;1;0.370
1817;2;1.862
1817;3;0.298
1817;4;0.345
1817;5;-1.237
1817;6;-1.775
1817;7;-1.255
1817;8;0.406
1817;9;-2.557
1817;10;-1.778
1817;11;-0.425
1817;12;-2.469
1818;1;0.376
1818;2;-1.030
1818;3;1.403
1818;4;2.761
1818;5;1.057
1818;6;1.808
1818;7;-0.230
1818;8;0.431
1818;9;-1.155
1818;10;-1.378
1818;11;0.054
1818;12;-0.276
1819;1;0.599
1819;2;0.331
1819;3;-0.903
1819;4;-1.443
1819;5;0.519
1819;6;0.727
1819;7;0.459
1819;8;0.658
1819;9;0.630
1819;10;0.760
1819;11;0.053
1819;12;-0.875
1820;1;-1.102
1820;2;0.273
1820;3;0.687
1820;4;1.273
1820;5;1.600
1820;6;1.328
1820;7;0.992
1820;8;0.068
1820;9;0.402
1820;10;-0.155
1820;11;-0.110
1820;12;-1.265
1821;1;0.813
1821;2;2.147
1821;3;1.493
1821;4;0.346
1821;5;0.722
1821;6;0.314
1821;7;0.436
1821;8;0.736
1821;9;-0.902
1821;10;0.030
1821;11;0.570
1821;12;0.055
1822;1;0.298
1822;2;1.444
1822;3;2.465
1822;4;-0.034
1822;5;-0.121
1822;6;0.334
1822;7;0.028
1822;8;0.082
1822;9;-0.525
1822;10;-0.572
1822;11;-0.836
1822;12;-2.188
1823;1;-0.267
1823;2;-0.410
1823;3;0.055
1823;4;-0.193
1823;5;0.043
1823;6;0.998
1823;7;0.594
1823;8;-0.178
1823;9;-0.772
1823;10;-0.859
1823;11;-1.211
1823;12;-0.835
1824;1;0.666
1824;2;-0.029
1824;3;0.403
1824;4;0.395
1824;5;0.262
1824;6;0.167
1824;7;0.439
1824;8;-0.090
1824;9;0.314
1824;10;-0.520
1824;11;-0.387
1824;12;1.145
1825;1;0.558
1825;2;0.135
1825;3;0.199
1825;4;1.077
1825;5;0.051
1825;6;0.293
1825;7;-0.481
1825;8;-0.133
1825;9;-0.337
1825;10;-0.422
1825;11;0.073
1825;12;-0.348
1826;1;-0.377
1826;2;-0.978
1826;3;-0.238
1826;4;0.458
1826;5;0.870
1826;6;0.070
1826;7;0.527
1826;8;0.032
1826;9;-0.093
1826;10;-0.049
1826;11;1.037
1826;12;1.302
1827;1;1.224
1827;2;0.941
1827;3;0.895
1827;4;1.336
1827;5;0.647
1827;6;0.490
1827;7;0.724
1827;8;0.426
1827;9;0.039
1827;10;-0.147
1827;11;0.676
1827;12;-0.309
1828;1;-1.312
1828;2;-0.833
1828;3;0.643
1828;4;0.866
1828;5;0.618
1828;6;0.851
1828;7;0.733
1828;8;0.384
1828;9;-1.073
1828;10;0.302
1828;11;0.312
1828;12;-0.818
1829;1;-0.177
1829;2;-0.953
1829;3;0.176
1829;4;-0.072
1829;5;0.491
1829;6;-0.243
1829;7;0.476
1829;8;0.226
1829;9;-0.605
1829;10;0.191
1829;11;-0.368
1829;12;-0.554
1830;1;1.083
1830;2;1.428
1830;3;-0.340
1830;4;0.763
1830;5;-0.618
1830;6;-0.204
1830;7;0.946
1830;8;0.252
1830;9;-0.806
1830;10;-0.306
1830;11;1.808
1830;12;1.111
1831;1;0.062
1831;2;-0.249
1831;3;-0.271
1831;4;-0.116
1831;5;0.084
1831;6;-0.089
1831;7;-0.252
1831;8;-0.875
1831;9;-1.082
1831;10;-0.688
1831;11;-0.926
1831;12;-1.051
1832;1;-0.003
1832;2;-0.760
1832;3;-0.010
1832;4;0.055
1832;5;-0.153
1832;6;-0.462
1832;7;0.050
1832;8;-0.917
1832;9;-0.913
1832;10;-0.209
1832;11;-1.442
1832;12;-2.087
1833;1;0.189
1833;2;0.145
1833;3;-0.471
1833;4;-0.066
1833;5;-0.202
1833;6;0.217
1833;7;-0.059
1833;8;-0.013
1833;9;-0.244
1833;10;-0.575
1833;11;1.367
1833;12;0.247
1834;1;-1.706
1834;2;-0.003
1834;3;0.869
1834;4;0.105
1834;5;0.466
1834;6;-0.106
1834;7;0.106
1834;8;0.100
1834;9;0.026
1834;10;-0.018
1834;11;1.029
1834;12;-0.085
1835;1;0.964
1835;2;0.358
1835;3;-0.399
1835;4;-0.038
1835;5;-0.588
1835;6;-0.839
1835;7;-0.723
1835;8;-0.808
1835;9;-1.384
1835;10;-0.767
1835;11;-1.443
1835;12;-1.500
1836;1;-0.081
1836;2;-0.042
1836;3;0.514
1836;4;-0.634
1836;5;-0.987
1836;6;-0.407
1836;7;-0.479
1836;8;-0.922
1836;9;-0.660
1836;10;0.140
1836;11;-1.430
1836;12;0.023
1837;1;0.100
1837;2;-0.245
1837;3;-1.179
1837;4;-1.864
1837;5;-1.407
1837;6;-0.840
1837;7;-0.251
1837;8;-0.177
1837;9;-0.413
1837;10;-0.784
